0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-349.26285,145.59282,-32.464077,28.002096,20.528128,-8.35977,16.956581,-7.8411984,-10.906594,5.073165,-9.369836,1.1471395,3.98474,-8.090223,1.3616629,-1.5508034,-3.1286309,4.9865875,-2.9162705,-3.3615258
-333.51657,161.73988,-15.308787,17.897453,25.021389,-1.0238706,10.60245,-1.603781,-6.77131,-2.9897246,-9.876682,5.138753,7.7014933,-3.3074605,4.4705505,-0.52808607,-6.379418,5.0947466,3.5520778,-2.8823085
-302.4579,131.19295,-58.15032,9.090328,14.878675,-13.740551,10.111158,-6.7699323,-10.0612755,-1.787112,-13.941024,-0.7435477,0.27985486,-8.9525,1.0417608,-3.8568523,-4.4896855,2.3123398,-5.582737,-3.6247714
-326.71454,124.59032,-41.562984,25.652998,11.330573,-11.755372,17.57537,-10.0949,-8.935339,2.0047874,-17.567066,-4.113834,-3.4548764,-10.750601,2.0980296,-8.367553,-7.923384,4.0102587,-5.8708787,-4.69542
-311.87442,155.12881,-14.279179,27.604437,30.936337,1.5807781,12.849335,-1.2462175,-5.081117,-1.7688806,-12.034891,1.5575426,4.0110106,-5.4594984,3.3026187,-0.43556622,-4.740553,2.8695447,0.19900484,-1.6165563
-323.56183,161.9226,-25.645124,42.51967,28.12927,-7.261543,21.824343,1.2334932,-2.9578688,5.122783,-9.547209,2.2109118,3.1222498,-1.4546494,5.612396,-5.307927,-0.37841097,6.64292,-3.037142,4.262049
-314.66223,133.67595,-65.28783,31.905054,19.337107,-14.437272,20.677008,-8.40268,-5.2175364,4.208804,-24.251978,-6.69062,-0.61834943,-9.150771,2.6125338,-8.370481,-5.755803,4.43783,-7.30643,-1.9250572
-340.45703,129.98766,-62.472076,11.483595,15.747419,-13.822406,11.247134,-8.840179,-11.884251,-3.346774,-20.07761,-9.085887,-3.6725361,-5.4512444,3.7787666,-9.218873,-10.639154,1.5799065,-4.3868093,-5.557744
-287.01328,140.80875,-59.299,27.054642,7.860924,-19.566132,21.39025,-12.042599,-10.576948,5.8539267,-19.302168,-4.404784,-0.5444044,-10.989502,0.103608355,-9.317997,-5.0742817,4.4479556,-11.150162,-6.816028
-341.24765,124.75439,-29.355429,12.645203,10.399183,-9.03597,10.909885,-7.0411835,-8.996913,1.8950369,-8.345313,0.040540215,2.0265448,-4.7768855,0.50335974,-4.917755,-4.2237983,1.1442215,-5.484224,-2.9077637
